#{"t_start": 1619905634.891071, "env_id": null}
r,l,t
-2,1000,4.9228
-2,1000,9.082885
-2,1000,13.189033
-1,1000,17.346045
-3,1000,21.786097
-2,1000,26.092246
-2,1000,30.623867
-2,1000,35.148921
-3,1000,39.033238
-5,1000,42.981912
0,1000,47.617174
-3,1000,51.988934
-2,1000,56.448248
-2,1000,60.976065
-4,1000,65.490017
-5,1000,69.853865
-4,1000,74.200038
-1,1000,78.592796
-3,1000,82.927833
-3,1000,87.359794
-5,1000,91.804209
-3,1000,97.439781
-2,1000,102.62702
-1,1000,107.605218
-4,1000,112.024003
-2,1000,116.530194
-3,1000,121.440097
-6,1000,126.064525
-3,1000,130.495459
-1,1000,134.968914
-4,1000,139.659946
-11,1000,143.723804
-9,1000,147.443833
-7,1000,152.033086
-2,1000,156.46195
-2,1000,160.619897
-6,1000,164.354882
-3,1000,167.724772
-3,1000,171.109986
-5,1000,174.595848
-5,1000,177.978454
-2,1000,181.475556
-1,1000,184.963885
0,1000,188.332775
-2,1000,191.808631
-2,1000,195.360042
-2,1000,198.726908
-2,1000,202.129136
-1,1000,205.991077
-2,1000,209.834841
-2,1000,213.969772
-5,1000,217.729992
0,1000,221.266072
-2,1000,224.635007
-3,1000,228.040838
-2,1000,231.424836
-2,1000,234.982138
-4,1000,238.309484
-1,1000,241.894851
-1,1000,245.413229
-2,1000,248.75699
-2,1000,252.104221
-3,1000,255.620942
-1,1000,258.998846
0,1000,262.459158
-1,1000,265.856863
-3,1000,269.259597
-3,1000,272.859127
0,1000,276.792748
-2,1000,280.467864
-1,1000,283.825999
-2,1000,287.225833
-3,1000,290.583979
-4,1000,294.017326
-2,1000,297.394352
-1,1000,300.863818
-1,1000,304.41489
0,1000,307.804055
-2,1000,311.18496
-1,1000,314.515331
0,1000,317.902892
-3,1000,321.240965
0,1000,324.570142
-1,1000,327.918879
-1,1000,331.491327
-1,1000,334.912086
-5,1000,338.224975
-2,1000,341.538853
-1,1000,344.884281
-1,1000,348.246265
-1,1000,351.571127
-2,1000,354.931929
-1,1000,358.296088
-1,1000,361.745794
-3,1000,365.264317
-2,1000,368.619657
-2,1000,371.95309
-1,1000,375.324993
-2,1000,378.640015
-3,1000,381.94808
-3,1000,385.277877
-1,1000,388.59895
-1,1000,392.143523
0,1000,395.543822
-2,1000,398.887044
-4,1000,402.230163
-3,1000,405.609121
-5,1000,408.967923
-2,1000,412.314882
-1,1000,415.681077
-2,1000,419.006346
-2,1000,422.562951
-2,1000,426.012149
-1,1000,429.404871
-2,1000,432.768236
-3,1000,436.138006
-1,1000,439.63299
-1,1000,442.949882
-1,1000,446.285888
-1,1000,449.699982
-3,1000,453.321126
-1,1000,456.894933
-3,1000,461.580851
-4,1000,465.749189
-1,1000,469.886916
-2,1000,473.924856
-3,1000,477.754907
-1,1000,481.677194
-3,1000,485.752143
-1,1000,489.829819
-3,1000,493.805031
-1,1000,497.543004
-1,1000,500.854931
-4,1000,504.135065
-3,1000,507.494818
-2,1000,510.888803
-3,1000,514.387324
-1,1000,517.92211
-1,1000,521.211152
-2,1000,524.570561
-2,1000,527.949148
-5,1000,531.233304
-3,1000,534.531978
-3,1000,537.783466
