#{"t_start": 1620060548.79857, "env_id": null}
r,l,t
-2,1000,5.620769
-2,1000,11.709497
-2,1000,17.586159
-2,1000,24.419341
-3,1000,29.225864
-2,1000,33.796547
0,1000,38.544843
-1,1000,43.178102
-2,1000,47.867515
-1,1000,52.613509
-1,1000,58.027064
-4,1000,62.958905
-3,1000,67.970307
-3,1000,73.069612
-2,1000,78.106745
-2,1000,83.905679
0,1000,89.15271
-3,1000,94.918923
-3,1000,100.419844
0,1000,107.232817
0,1000,113.934061
-2,1000,124.81444
-1,1000,133.300371
-4,1000,139.36282
0,1000,147.597164
-1,1000,157.34236
-1,1000,164.482395
-2,1000,175.050592
-4,1000,190.793205
-1,1000,198.949688
-2,1000,205.377999
-2,1000,212.998736
-3,1000,221.63495
-2,1000,229.638995
-4,1000,245.986252
-2,1000,257.120751
-2,1000,266.171596
-2,1000,275.401959
-4,1000,287.788959
-1,1000,298.908496
-2,1000,312.290521
-5,1000,325.967274
-1,1000,348.446722
-4,1000,365.65951
-1,1000,379.402396
-2,1000,404.136381
-1,1000,432.161163
-2,1000,470.087078
-1,1000,523.077626
0,1000,555.276581
-2,1000,580.102525
-5,1000,608.978395
-1,1000,651.122524
-3,1000,702.656359
-2,1000,1093.497859
-2,1000,1192.501628
-5,1000,1279.447721
-3,1000,1361.962869
-4,1000,1439.103014
-2,1000,1526.395106
0,1000,1604.551503
-3,1000,1692.166765
-4,1000,1767.623744
-1,1000,1842.235967
-2,1000,1954.966807
-1,1000,2029.357226
-2,1000,2103.472591
-1,1000,2176.855014
-2,1000,2249.627846
-2,1000,2326.060598
-5,1000,2401.846675
-4,1000,2477.415411
-1,1000,2553.757861
-3,1000,2634.948356
0,1000,2708.273541
-1,1000,2780.687338
-2,1000,2855.606076
0,1000,2930.624368
-4,1000,3002.326432
-2,1000,3078.282105
-1,1000,3150.583595
-4,1000,3235.386321
-1,1000,3305.493901
-2,1000,3380.821222
-3,1000,3453.343581
-3,1000,3532.049254
-6,1000,3604.362846
-3,1000,3679.111974
-6,1000,3750.911921
-3,1000,3825.007717
-2,1000,3897.418944
-4,1000,3968.702003
-2,1000,4039.593763
-1,1000,4106.808567
-3,1000,4168.729033
-4,1000,4190.262399
-3,1000,4206.873758
-2,1000,4226.871
-1,1000,4247.403095
-2,1000,4265.56793
-1,1000,4284.518926
-6,1000,4302.955625
-1,1000,4318.293852
-2,1000,4343.747526
1,1000,4368.966133
-1,1000,4389.344816
-3,1000,4407.54863
-3,1000,4428.623405
-3,1000,4455.049199
-2,1000,4478.90971
0,1000,4493.570843
-3,1000,4509.282321
-2,1000,4525.049512
-1,1000,4540.834767
-1,1000,4555.6139
-5,1000,4570.821094
-3,1000,4585.601482
0,1000,4602.947693
-2,1000,4621.425982
-1,1000,4639.400854
-1,1000,4657.15468
-1,1000,4672.948241
-4,1000,4691.008679
-2,1000,4711.215374
-3,1000,4731.054985
-2,1000,4757.577699
0,1000,4772.508702
-3,1000,4787.595744
-2,1000,4799.173033
0,1000,4813.553884
-4,1000,4833.356547
-1,1000,4850.157144
-2,1000,4863.614826
-1,1000,4881.028073
-3,1000,4900.812761
-1,1000,4917.795687
-1,1000,4932.456697
-2,1000,4946.8367
-4,1000,4962.893694
-3,1000,4977.445723
-3,1000,4994.206738
-4,1000,5011.063672
-4,1000,5029.061289
-1,1000,5045.244469
-2,1000,5072.980684
-6,1000,5091.327666
-3,1000,5109.892728
-2,1000,5126.90066
-3,1000,5141.701668
-2,1000,5156.057703
-3,1000,5169.178714
-8,1000,5183.01371
0,1000,5197.482179
-5,1000,5213.916661
0,1000,5230.667724
-5,1000,5244.845513
-2,1000,5261.345254
-1,1000,5275.115364
-1,1000,5292.676676
-4,1000,5307.89171
-2,1000,5324.817662
-2,1000,5339.951727
-2,1000,5353.212183
-2,1000,5371.669697
0,1000,5382.82867
-1,1000,5392.790688
-3,1000,5402.165677
-4,1000,5413.026687
-3,1000,5428.256655
-3,1000,5443.797475
-4,1000,5458.670812
-2,1000,5476.023244
-5,1000,5488.833693
0,1000,5500.586689
-4,1000,5514.224685
-4,1000,5528.810665
-5,1000,5544.487694
-2,1000,5561.01478
1,1000,5571.47221
-2,1000,5583.186017
-1,1000,5594.665668
-1,1000,5605.484196
-3,1000,5618.566705
-1,1000,5630.614842
-2,1000,5643.398522
-1,1000,5657.071777
-2,1000,5675.217682
-2,1000,5689.018719
0,1000,5701.577685
-2,1000,5712.997984
-2,1000,5723.542582
-3,1000,5738.085726
-2,1000,5753.532248
-3,1000,5766.04073
-1,1000,5778.328882
-2,1000,5795.704704
-2,1000,5813.430262
-2,1000,5827.973693
0,1000,5841.205681
-2,1000,5854.885671
-4,1000,5868.273514
-2,1000,5882.441704
-1,1000,5896.587694
-3,1000,5909.570748
-2,1000,5922.969132
-1,1000,5936.39668
-2,1000,5950.285496
-3,1000,5962.433736
-1,1000,5977.049007
-2,1000,5994.100654
-3,1000,6007.907226
-1,1000,6022.016371
-2,1000,6038.629185
-3,1000,6059.016572
-3,1000,6076.95342
0,1000,6092.528517
0,1000,6111.58675
0,1000,6128.999392
-3,1000,6155.822276
-1,1000,6177.943317
-2,1000,6199.67129
-1,1000,6221.737622
-1,1000,6246.895212
-3,1000,6263.628379
-1,1000,6286.262185
-1,1000,6310.052214
-3,1000,6345.300234
-2,1000,6370.129002
-3,1000,6401.784249
-2,1000,6420.92933
-2,1000,6438.164457
-2,1000,6453.253585
-2,1000,6472.490509
-2,1000,6489.189212
-2,1000,6508.760066
-3,1000,6529.698274
-2,1000,6548.729664
-2,1000,6573.340619
-5,1000,6600.792045
-3,1000,6618.611285
-3,1000,6637.162623
-2,1000,6658.310236
-3,1000,6678.530669
-2,1000,6695.587734
-4,1000,6712.1403
-3,1000,6729.929643
-1,1000,6745.33636
0,1000,6761.911642
-1,1000,6776.232411
0,1000,6792.840539
-2,1000,6809.489456
-2,1000,6828.920672
-3,1000,6843.77167
-2,1000,6859.455497
-3,1000,6875.304497
-2,1000,6890.977426
-2,1000,6916.978559
-2,1000,6933.645494
0,1000,6953.45966
1,1000,6972.166537
-2,1000,6994.781091
-5,1000,7014.89039
-1,1000,7035.028402
-1,1000,7053.716699
-3,1000,7076.33852
-1,1000,7100.834944
-3,1000,7120.558049
-1,1000,7136.820003
-2,1000,7155.964847
-4,1000,7175.678593
-3,1000,7193.799023
-6,1000,7217.283302
-7,1000,7238.64152
-8,1000,7255.334514
-5,1000,7273.744881
-11,1000,7289.899223
-3,1000,7307.93192
-4,1000,7327.934865
-4,1000,7353.116089
-9,1000,7372.260978
-4,1000,7391.611665
-8,1000,7413.172171
-11,1000,7429.622854
-4,1000,7447.719945
-12,1000,7466.473056
-9,1000,7483.846176
-10,1000,7502.536664
-6,1000,7518.238374
-7,1000,7545.374044
-2,1000,7567.292416
-1,1000,7585.760798
-2,1000,7607.310732
-3,1000,7628.976074
-4,1000,7639.920334
-6,1000,7651.013091
-6,1000,7662.239028
-3,1000,7668.614062
-2,1000,7678.108081
-1,1000,7712.472197
-3,1000,7735.101157
-2,1000,7771.362709
-5,1000,7808.8787
-5,1000,7840.548832
-4,1000,7865.305203
-11,1000,7888.606268
-6,1000,7910.164458
-2,1000,7938.729036
-6,1000,7956.298161
-8,1000,7977.578731
-5,1000,7997.15916
-6,1000,8026.20874
-1,1000,8043.524434
-7,1000,8058.910869
-4,1000,8075.298551
-2,1000,8091.159436
-4,1000,8109.584787
-5,1000,8127.141754
-2,1000,8148.91678
-2,1000,8165.795235
-4,1000,8183.877771
-4,1000,8201.546334
-5,1000,8224.647876
-1,1000,8248.912826
-1,1000,8270.413838
-3,1000,8287.367741
-6,1000,8306.06684
-13,1000,8329.589814
-5,1000,8348.203064
-4,1000,8360.928652
-5,1000,8385.091747
0,1000,8401.758014
-2,1000,8417.244267
-5,1000,8433.026448
-4,1000,8455.387251
-5,1000,8471.857207
-2,1000,8488.738305
-2,1000,8508.729386
-3,1000,8532.711246
-7,1000,8553.321254
-6,1000,8572.816943
-2,1000,8592.695856
-4,1000,8615.17404
-2,1000,8635.290248
-3,1000,8658.667798
-2,1000,8686.333371
-3,1000,8710.398227
-4,1000,8736.43392
-7,1000,8766.761867
-6,1000,8787.029027
-4,1000,8818.737954
-5,1000,8846.018029
-3,1000,8876.076059
-2,1000,8902.168998
-3,1000,8925.33628
-4,1000,8951.399317
-6,1000,8976.72052
-5,1000,8999.919861
-4,1000,9032.277026
-2,1000,9057.967917
0,1000,9096.635951
-3,1000,9127.019017
-3,1000,9157.797012
-3,1000,9181.509072
-3,1000,9203.401074
-2,1000,9227.665052
-3,1000,9251.813094
-2,1000,9272.566101
-2,1000,9298.128283
-1,1000,9320.769094
-3,1000,9336.437681
-3,1000,9352.446524
-5,1000,9369.949409
-2,1000,9400.503122
-2,1000,9427.466102
-2,1000,9454.737214
-2,1000,9482.926035
-2,1000,9511.87908
-3,1000,9539.12861
-2,1000,9566.458194
0,1000,9592.670158
-1,1000,9616.225165
-3,1000,9642.883987
-3,1000,9669.303223
0,1000,9700.551335
-2,1000,9726.916199
-4,1000,9750.486193
-2,1000,9775.248176
-2,1000,9797.755228
-4,1000,9819.670088
-2,1000,9837.054204
-2,1000,9857.809125
-3,1000,9879.296203
-3,1000,9902.748214
-1,1000,9922.970223
-1,1000,9946.284199
-1,1000,9976.87724
-3,1000,10007.29328
-5,1000,10035.757239
-3,1000,10067.564268
-4,1000,10096.865303
-1,1000,10129.605286
0,1000,10157.423404
-1,1000,10179.535943
-4,1000,10209.119252
-2,1000,10243.508852
0,1000,10276.905992
-3,1000,10317.014406
-1,1000,10343.860679
-2,1000,10372.166724
-2,1000,10400.750643
0,1000,10417.544838
-3,1000,10430.171751
-1,1000,10442.988819
-2,1000,10458.846454
-3,1000,10479.545768
-1,1000,10507.10293
-1,1000,10534.703305
-1,1000,10561.155439
-1,1000,10590.181378
-1,1000,10614.890377
-2,1000,10650.337992
-2,1000,10668.484413
-2,1000,10690.509404
-1,1000,10709.512386
-1,1000,10729.032423
0,1000,10746.895448
-1,1000,10773.222468
-3,1000,10817.957237
-4,1000,10843.764026
-3,1000,10864.510824
-1,1000,10878.96523
-1,1000,10895.355059
-4,1000,10920.30713
-4,1000,10956.308916
-1,1000,10979.272597
-1,1000,10986.192755
0,1000,10991.833565
-1,1000,10997.033255
-2,1000,11001.471508
-1,1000,11005.858552
-3,1000,11010.391626
-1,1000,11014.87954
-2,1000,11019.320662
-2,1000,11023.662528
-1,1000,11027.982386
-1,1000,11032.317683
-1,1000,11036.614993
-3,1000,11040.89664
-4,1000,11045.210498
-1,1000,11049.415504
-3,1000,11053.624192
0,1000,11057.823589
-2,1000,11062.125709
-2,1000,11066.412462
-1,1000,11070.612931
-3,1000,11075.012618
0,1000,11079.288669
-2,1000,11083.507397
-3,1000,11087.754769
-2,1000,11091.986474
-3,1000,11096.27144
-9,1000,11100.439338
-12,1000,11104.614627
-9,1000,11108.784648
-4,1000,11112.827314
-4,1000,11116.916338
-5,1000,11121.130408
-9,1000,11125.425358
-11,1000,11129.652182
-13,1000,11133.95385
-7,1000,11138.363231
-4,1000,11142.743375
-6,1000,11146.993626
-3,1000,11151.307223
-4,1000,11155.605338
-7,1000,11159.831433
-4,1000,11164.173206
-2,1000,11168.495462
-9,1000,11172.735707
-4,1000,11177.044319
-6,1000,11181.269222
-5,1000,11185.640852
-10,1000,11189.840689
-6,1000,11193.92065
-4,1000,11198.065643
-7,1000,11202.108117
-2,1000,11206.538266
-10,1000,11210.697583
-4,1000,11215.040421
-5,1000,11219.311217
-2,1000,11223.604459
-2,1000,11228.130522
-4,1000,11232.345041
-2,1000,11236.56558
-1,1000,11243.248473
-8,1000,11248.370373
-1,1000,11253.718289
-5,1000,11258.688078
-7,1000,11263.7601
-2,1000,11268.712528
-2,1000,11273.753574
-5,1000,11278.644216
-4,1000,11283.604529
-3,1000,11288.355179
-3,1000,11292.620276
-4,1000,11296.712185
-1,1000,11300.864156
-3,1000,11305.065536
-3,1000,11309.261024
