#{"t_start": 1619967496.3454528, "env_id": null}
r,l,t
-2,1000,3.697254
0,1000,7.252734
-3,1000,11.814247
-2,1000,15.383426
-1,1000,20.079642
-1,1000,24.355201
-2,1000,29.044134
-5,1000,32.77245
-1,1000,37.359928
-2,1000,40.938382
-2,1000,45.542037
-1,1000,49.09503
-2,1000,53.673158
-3,1000,57.252836
-1,1000,62.107488
0,1000,65.653497
-3,1000,70.271864
0,1000,73.82495
-2,1000,78.42746
-3,1000,81.995626
-1,1000,86.651727
-4,1000,90.425823
-2,1000,95.096532
-4,1000,98.673062
-2,1000,103.306055
-4,1000,106.907287
-2,1000,111.512671
-1,1000,115.092885
-4,1000,119.967277
-4,1000,123.791253
-2,1000,128.547586
-3,1000,132.117439
-2,1000,136.858247
-2,1000,140.689936
-3,1000,145.260147
-2,1000,148.810661
-1,1000,153.638048
-3,1000,157.290711
-3,1000,161.870266
-2,1000,165.424769
-2,1000,169.986822
-2,1000,173.529578
-2,1000,177.086522
-3,1000,181.904418
-3,1000,185.444329
-3,1000,190.013695
-2,1000,193.536345
0,1000,198.153391
-2,1000,201.681595
0,1000,206.275791
-2,1000,209.93404
-2,1000,214.595624
-2,1000,218.164372
-1,1000,222.761019
-2,1000,226.30268
-2,1000,230.917173
-1,1000,234.475645
-2,1000,239.114333
-1,1000,244.28764
-3,1000,249.771895
-2,1000,253.900592
-1,1000,259.189298
-2,1000,263.243034
0,1000,268.444971
-3,1000,272.724774
-3,1000,277.924927
-2,1000,281.976712
-3,1000,286.799798
-2,1000,290.292829
-1,1000,294.840555
-2,1000,298.382654
-4,1000,303.08446
-4,1000,306.527295
-2,1000,311.033284
-1,1000,314.513943
-2,1000,319.000951
0,1000,322.449458
-3,1000,327.258333
-3,1000,331.289285
-4,1000,335.77017
0,1000,339.216165
-4,1000,343.705341
-2,1000,347.113195
-2,1000,351.616343
-3,1000,355.06529
-4,1000,358.488567
-6,1000,363.137106
0,1000,366.618012
-4,1000,371.071966
-1,1000,374.508195
-3,1000,378.99911
-1,1000,382.487411
-2,1000,387.016172
-1,1000,390.660528
-2,1000,395.214777
-4,1000,398.654103
-3,1000,403.12511
0,1000,406.609339
-3,1000,411.100391
-2,1000,414.546477
-2,1000,419.028319
-2,1000,422.664168
-3,1000,427.156197
-5,1000,430.59928
-3,1000,435.064386
0,1000,438.475338
-1,1000,443.534894
-2,1000,448.019118
-5,1000,453.171729
-4,1000,458.125534
-2,1000,464.4734
-2,1000,468.438731
-4,1000,473.576596
-1,1000,477.216484
-2,1000,482.094075
-2,1000,485.630362
-3,1000,490.369759
-1,1000,493.907836
-4,1000,498.501387
-4,1000,502.109929
0,1000,506.786044
-3,1000,510.501805
-2,1000,515.323496
-4,1000,519.097294
-1,1000,523.823175
-3,1000,527.391782
-1,1000,532.250217
-3,1000,535.898154
-2,1000,539.562812
-1,1000,544.461236
-4,1000,548.044022
-4,1000,552.648102
-2,1000,556.259164
-3,1000,560.91384
-3,1000,564.505358
-1,1000,569.20699
0,1000,572.94681
-2,1000,577.741002
-1,1000,581.303502
0,1000,585.943999
-3,1000,589.627218
-6,1000,594.261776
-1,1000,597.823941
-3,1000,602.679402
-4,1000,606.240644
-3,1000,610.974606
-5,1000,614.541192
-3,1000,619.19431
-3,1000,622.774663
-2,1000,627.431221
-2,1000,631.802082
-2,1000,636.80345
-2,1000,640.427015
-4,1000,645.186163
-6,1000,648.767633
-1,1000,653.413891
-3,1000,656.992605
-4,1000,661.845435
0,1000,665.453858
0,1000,670.087994
-4,1000,673.714283
0,1000,678.367154
-2,1000,682.000304
0,1000,686.625469
-2,1000,690.350311
-1,1000,695.045182
-1,1000,698.615105
0,1000,703.257296
-2,1000,706.860113
-3,1000,711.442463
-2,1000,715.003027
-3,1000,718.582398
-3,1000,723.733146
-2,1000,728.42308
-3,1000,733.758648
-2,1000,737.929828
-1,1000,743.202145
-3,1000,747.360787
-3,1000,752.895744
-4,1000,757.183424
-2,1000,762.560187
-3,1000,766.573926
-2,1000,771.114274
-2,1000,774.742561
-2,1000,779.36974
-1,1000,783.299751
-2,1000,787.799136
-3,1000,791.300609
-2,1000,795.927263
-1,1000,799.555458
-4,1000,804.10539
-3,1000,807.66956
-1,1000,812.487148
-3,1000,816.015335
0,1000,820.632009
-1,1000,824.191082
-4,1000,828.744514
-2,1000,832.26379
-2,1000,836.847856
-1,1000,840.538129
-5,1000,845.189844
-4,1000,848.695589
-3,1000,853.263253
-2,1000,856.892516
-4,1000,861.468585
-3,1000,864.979554
-2,1000,869.632473
-1,1000,873.375531
-2,1000,877.927539
-2,1000,881.541675
-3,1000,886.127466
-2,1000,889.627013
-5,1000,894.210072
-2,1000,897.811973
0,1000,901.583976
0,1000,906.191186
-5,1000,909.753704
-4,1000,914.311265
-3,1000,917.844324
-2,1000,922.433666
-5,1000,926.035321
-1,1000,930.80532
-3,1000,934.452219
-2,1000,939.677069
-1,1000,943.21006
-3,1000,947.777792
-1,1000,951.31923
